Essay ID,Content,Prompt Adherence,Language,Narrativity
11827,2,2,2,2
11828,3,3,3,3
11829,2,2,2,2
11830,1,0,1,1
11831,4,4,4,4
11832,3,3,3,3
11833,3,3,3,3
11834,4,4,3,3
11835,3,3,3,3
11836,2,2,2,2
11837,0,0,0,0
11838,2,2,2,2
11839,2,2,2,2
11840,1,1,1,1
11841,2,3,3,2
11842,3,3,3,3
11843,2,3,2,2
11844,3,3,3,3
11845,2,3,2,2
11846,3,3,2,3
11847,4,4,4,4
11848,3,2,3,3
11849,3,3,3,3
11850,4,4,4,3
11851,2,1,3,2
11852,2,3,2,3
11853,3,3,3,3
11854,1,2,1,1
11855,2,3,2,2
11856,2,3,3,3
11857,2,3,2,2
11858,1,1,1,1
11859,2,3,2,2
11860,2,3,2,2
11861,2,2,2,2
11862,2,2,2,2
11863,2,2,3,3
11864,3,3,3,3
11865,2,2,2,2
11866,4,4,4,4
11867,3,2,3,3
11868,2,2,3,2
11869,2,3,3,3
11870,2,2,2,2
11871,1,1,1,1
11872,2,2,2,2
11873,4,4,3,4
11874,3,3,3,3
11875,3,3,2,2
11876,2,2,3,2
11877,1,1,1,1
11878,2,3,3,2
11879,2,2,3,2
11880,1,1,2,1
11881,2,2,2,2
11882,2,2,2,2
11883,3,3,2,3
11884,4,4,4,4
11885,1,1,2,2
11886,4,4,3,3
11887,1,1,2,2
11888,2,2,2,2
11889,2,2,2,3
11890,2,2,3,3
11891,2,3,2,3
11892,1,1,3,2
11893,2,2,3,3
11894,1,1,3,3
11895,2,3,3,2
11896,3,2,3,3
11897,2,2,3,3
11898,1,1,3,2
11899,2,3,3,2
11900,2,3,2,3
11901,2,1,1,1
11902,1,2,2,2
11903,1,0,0,0
11904,2,2,2,2
11905,1,1,3,2
11906,4,3,2,3
11907,1,1,3,2
11908,3,3,4,4
11909,2,2,3,3
11910,1,1,2,2
11911,2,3,2,3
11912,1,1,2,2
11913,2,2,3,2
11914,1,2,2,2
11915,2,2,3,3
11916,3,4,3,3
11917,1,1,2,2
11918,1,1,2,2
11919,1,1,2,2
11920,3,3,4,3
11921,2,2,2,2
11922,1,1,2,2
11923,2,2,3,2
11924,1,1,2,1
11925,2,3,2,3
11926,1,1,2,2
11927,1,2,1,1
11928,3,3,3,2
11929,3,3,2,3
11930,1,2,2,2
11931,1,1,2,2
11932,3,3,4,3
11933,2,2,2,2
11934,3,3,2,3
11935,0,0,0,0
11936,2,3,2,2
11937,3,3,3,3
11938,2,2,3,3
11939,2,2,2,2
11940,2,3,3,2
11941,2,2,3,2
11942,3,3,3,3
11943,1,2,1,2
11944,1,2,2,2
11945,3,2,4,3
11946,3,3,3,3
11947,2,2,2,2
11948,1,2,3,2
11949,3,4,3,3
11950,0,0,0,0
11951,1,1,1,2
11952,1,2,2,2
11953,0,0,0,0
11954,4,4,3,3
11955,0,0,0,0
11956,2,1,2,2
11957,2,2,3,2
11958,2,1,2,2
11959,3,3,3,3
11960,3,3,4,3
11961,1,1,2,2
11962,2,2,2,2
11963,3,2,3,2
11964,3,2,4,2
11965,3,3,4,3
11966,1,1,3,2
11967,0,0,0,0
11968,3,2,2,2
11969,2,2,2,2
11970,3,3,4,3
11971,0,0,0,0
11972,2,2,3,3
11973,2,3,4,3
11974,2,2,3,2
11975,2,3,3,3
11976,0,0,0,0
11977,0,0,0,0
11978,3,3,4,3
11979,3,3,3,3
11980,3,3,3,3
11981,2,2,3,2
11982,1,1,2,2
11983,1,1,1,1
11984,1,2,2,1
11985,2,3,4,3
11986,3,2,4,3
11987,2,3,3,3
11988,2,3,3,3
11989,3,3,4,3
11990,2,2,3,2
11991,4,4,4,4
11992,1,1,3,2
11993,0,0,0,0
11994,3,3,3,3
11995,1,2,2,2
11996,2,1,2,2
11997,2,2,2,2
11998,0,0,0,0
11999,1,2,2,2
12000,1,1,2,1
12001,0,0,0,0
12002,0,0,0,0
12003,3,2,3,2
12004,2,1,3,2
12005,2,2,1,2
12006,1,1,2,1
12007,3,3,3,3
12008,2,1,2,1
12009,1,1,2,1
